aX,aY,aZ,gX,gY,gZ
-1.265,-1.076,0.844,-61.035,-253.662,216.797
-1.201,-0.986,0.599,-92.346,-231.201,256.897
-1.185,-0.858,0.311,-120.85,-198.12,304.26
-1.253,-0.781,0.13,-148.071,-150.024,356.384
-1.255,-0.736,-0.042,-170.532,-97.229,393.066
-1.184,-0.655,-0.219,-175.476,-41.931,408.752
-1.077,-0.478,-0.333,-168.884,19.348,413.452
-0.958,-0.242,-0.391,-155.151,82.764,417.664
-0.841,-0.005,-0.386,-136.169,141.357,423.767
-0.698,0.166,-0.336,-112.915,194.336,429.077
-0.513,0.235,-0.245,-82.336,241.455,436.035
-0.317,0.24,-0.103,-43.884,279.907,447.205
-0.126,0.247,0.1,-6.226,302.063,458.435
0.073,0.272,0.319,28.809,301.147,464.966
0.269,0.325,0.615,62.134,273.682,468.506
0.501,0.353,0.954,97.534,215.332,475.098
0.699,0.343,1.186,128.723,122.314,483.704
0.637,0.269,0.973,144.836,6.592,492.554
0.39,0.161,0.641,147.583,-86.304,500.0
0.137,0.058,0.438,156.738,-136.292,500.305
0.013,0.046,0.259,168.701,-162.659,486.389
-0.039,0.061,0.114,160.828,-161.133,467.834
-0.135,-0.006,0.106,143.005,-132.568,448.303
-0.227,-0.154,0.192,126.038,-90.698,417.786
-0.268,-0.287,0.283,106.812,-46.997,372.742
-0.294,-0.359,0.381,81.97,-4.333,318.359
-0.292,-0.366,0.461,48.401,33.02,259.521
-0.255,-0.299,0.492,9.277,63.477,200.867
-0.191,-0.164,0.471,-30.151,89.355,146.912
-0.126,-0.011,0.416,-66.101,113.953,104.065
-0.085,0.12,0.355,-92.651,136.963,70.801
-0.033,0.2,0.279,-108.887,159.851,46.143
0.037,0.276,0.197,-114.746,183.594,27.954
0.092,0.358,0.126,-107.788,206.604,16.357
0.151,0.442,0.068,-90.454,227.905,12.756
0.231,0.514,0.023,-65.308,246.948,17.761
0.33,0.58,-0.04,-31.982,262.024,28.564
0.4,0.614,-0.106,5.31,277.283,48.95
0.466,0.609,-0.171,37.659,295.593,78.552
0.533,0.53,-0.251,63.904,314.026,110.352
0.559,0.424,-0.339,81.116,329.529,138.489
0.605,0.192,-0.421,86.426,338.806,159.485
0.583,0.043,-0.518,80.322,339.661,163.025
0.591,-0.023,-0.735,70.862,333.069,159.973
0.62,-0.161,-1.028,54.321,320.19,152.283
0.745,-0.276,-1.384,35.278,289.673,128.601
1.055,-0.227,-1.803,28.931,221.069,90.027
1.507,-0.112,-2.244,44.006,138.733,43.274
1.239,-0.094,-3.067,83.557,100.647,-14.404
1.064,-0.226,-3.691,104.919,193.909,-52.063
1.442,-0.257,-2.757,32.959,330.078,-77.209
1.865,-0.481,-1.805,-25.635,402.832,-110.596
1.907,-0.589,-1.3,-41.077,398.926,-133.972
1.778,-0.527,-1.103,-45.288,335.815,-142.456
1.638,-0.413,-0.992,-46.326,245.544,-131.226
1.532,-0.334,-0.902,-43.03,143.921,-116.76
1.428,-0.345,-0.921,-24.78,43.335,-109.436
1.339,-0.376,-1.029,-4.395,-40.527,-92.651
1.212,-0.384,-1.113,0.549,-96.069,-66.345
1.065,-0.478,-1.128,-1.099,-122.803,-41.687
0.936,-0.663,-1.08,-2.686,-128.662,-28.687
0.823,-0.814,-0.999,0.244,-122.07,-31.067
0.752,-0.834,-0.929,7.507,-108.459,-42.969
0.724,-0.759,-0.864,11.047,-89.722,-54.626
0.721,-0.658,-0.755,6.226,-67.627,-62.256
0.748,-0.571,-0.625,-1.465,-48.462,-62.927
0.792,-0.515,-0.522,-7.568,-38.208,-54.993
0.79,-0.498,-0.481,-12.573,-36.255,-41.931
0.744,-0.568,-0.487,-16.113,-37.231,-30.579
0.65,-0.614,-0.394,-16.602,-36.316,-28.32
0.695,-0.667,-0.488,-11.963,-38.391,-32.043
0.593,-0.46,-0.615,-10.254,-32.41,-39.978
0.571,-0.391,-0.573,-10.681,-10.376,-31.25
0.621,-0.327,-0.505,-15.991,8.728,-21.545
0.719,-0.395,-0.501,-12.146,16.785,-14.038
0.676,-0.462,-0.518,-9.888,21.118,-6.836
0.615,-0.411,-0.527,-7.568,23.682,-7.935
0.657,-0.403,-0.551,-5.005,23.621,-4.089
0.665,-0.373,-0.573,-6.714,24.109,-6.714
0.666,-0.339,-0.598,-7.385,23.682,-5.432
0.667,-0.314,-0.584,-7.568,21.24,-1.953
0.691,-0.334,-0.571,-6.653,13.245,-0.244
0.704,-0.335,-0.579,-3.784,1.404,-0.732
0.704,-0.323,-0.57,-0.793,-11.047,0.0
0.711,-0.306,-0.544,-0.732,-24.231,1.587
0.732,-0.303,-0.533,-0.977,-39.795,2.808
0.726,-0.299,-0.579,-0.977,-55.115,4.7
0.679,-0.296,-0.664,-1.892,-64.88,8.484
0.609,-0.321,-0.733,-4.883,-62.988,12.695
0.562,-0.352,-0.776,-7.08,-51.208,12.146
0.55,-0.359,-0.804,-5.798,-33.081,8.484
0.569,-0.32,-0.803,-5.249,-10.925,5.615
0.576,-0.282,-0.754,-6.042,11.719,5.31
0.649,-0.29,-0.705,-5.127,29.724,5.981
0.709,-0.298,-0.678,-1.587,39.612,4.822
0.607,-0.29,-0.58,4.517,43.396,2.93
0.745,-0.415,-0.486,9.155,39.001,1.526
0.761,-0.305,-0.552,13.55,23.743,-9.155
0.7,-0.401,-0.489,11.414,14.954,-2.808
0.691,-0.343,-0.484,3.235,5.066,-9.766
0.743,-0.408,-0.525,2.808,-8.301,-8.362
0.694,-0.331,-0.523,-3.235,-15.991,-11.475
0.696,-0.348,-0.529,-6.104,-23.926,-8.118
0.693,-0.372,-0.545,-10.803,-29.785,-7.141
0.686,-0.403,-0.578,-11.963,-33.997,-7.996
0.645,-0.412,-0.631,-12.024,-34.546,-8.789
0.612,-0.408,-0.704,-10.62,-29.053,-11.902
0.61,-0.358,-0.749,-8.179,-15.564,-13.489
-0.974,-1.106,0.745,-2.258,-67.017,37.598
-1.086,-1.227,0.802,-2.502,-80.811,51.88
