aX,aY,aZ,gX,gY,gZ
-0.244,-0.875,0.471,-3.845,41.26,-23.01
-0.235,-0.865,0.491,-3.784,38.574,-26.428
-0.221,-0.856,0.498,-3.784,32.654,-27.466
-0.218,-0.84,0.506,-3.296,25.635,-24.78
-0.209,-0.83,0.517,-2.93,18.066,-17.761
-0.195,-0.833,0.532,-2.93,9.033,-8.667
-0.191,-0.831,0.543,-2.93,-1.709,1.038
-0.198,-0.828,0.545,-3.052,-13.916,10.925
-0.222,-0.83,0.538,-3.052,-26.062,19.287
-0.239,-0.853,0.523,-3.235,-35.767,25.513
-0.26,-0.88,0.5,-3.967,-42.358,28.625
-0.292,-0.9,0.46,-4.761,-45.532,27.466
-0.318,-0.914,0.421,-5.005,-43.823,21.851
-0.334,-0.919,0.392,-4.883,-37.109,12.207
-0.345,-0.915,0.376,-3.784,-26.489,0.793
-0.342,-0.903,0.368,-2.441,-14.343,-9.521
-0.333,-0.891,0.379,-1.282,-2.502,-18.372
-0.311,-0.89,0.398,-0.183,7.263,-25.146
-0.296,-0.88,0.423,0.183,13.428,-28.503
-0.286,-0.858,0.446,0.549,15.686,-28.198
-0.282,-0.838,0.46,0.427,14.954,-23.926
-0.275,-0.84,0.469,-0.488,12.573,-16.663
-0.272,-0.849,0.476,-1.404,9.399,-7.874
-0.272,-0.859,0.478,-2.014,6.226,-0.977
1.957,-0.958,-0.421,-36.499,-335.571,25.452
2.221,-0.826,-0.509,-18.066,-424.866,27.466
2.609,-0.781,-0.651,5.188,-536.438,35.522
2.985,-0.784,-0.863,32.166,-668.579,48.279
3.242,-0.835,-1.193,52.612,-802.795,62.195
3.247,-0.896,-1.58,61.523,-914.124,75.684
2.939,-0.889,-1.853,67.078,-979.37,91.797
2.385,-0.805,-1.928,67.261,-988.037,113.037
1.736,-0.776,-1.835,52.002,-947.266,136.597
1.203,-0.828,-1.767,40.955,-873.108,166.565
0.735,-0.841,-1.77,36.499,-780.029,190.674
0.29,-0.812,-1.674,35.828,-687.988,194.763
-0.178,-0.754,-1.465,48.279,-616.821,176.636
-0.669,-0.699,-1.203,64.697,-572.876,144.958
-1.178,-0.635,-0.978,77.759,-555.054,113.403
-1.627,-0.571,-0.843,88.074,-548.889,89.6
-1.931,-0.715,-0.957,91.797,-529.785,74.524
-2.065,-1.02,-1.125,81.177,-471.497,60.242
-2.161,-1.183,-1.036,64.819,-376.343,47.607
-3.079,-0.597,-0.194,78.613,-286.804,40.527
-4.0,-0.4,-0.42,118.408,-264.099,130.981
-3.968,-1.247,-1.464,-10.376,-245.728,344.604
-2.03,-2.732,-1.767,-139.038,-153.931,443.787
-0.787,-2.602,-1.082,-147.034,-14.404,299.927
-0.394,-1.554,-0.261,-11.536,59.082,55.603
-0.144,-0.785,-0.158,44.373,91.98,-105.774
0.306,-0.871,0.326,37.048,141.541,-124.512
0.227,-1.481,0.937,52.185,169.983,-110.779
0.323,-1.819,1.197,59.448,127.38,-130.066
0.402,-1.682,1.082,44.25,49.377,-134.949
0.218,-1.352,0.946,14.771,-11.78,-114.319
0.085,-1.1,0.729,-12.329,-55.054,-69.885
-0.006,-0.97,0.525,-32.166,-80.811,-18.005
-0.18,-0.848,0.43,-43.762,-87.158,22.156
-0.346,-0.763,0.414,-48.889,-84.778,44.556
-0.476,-0.698,0.406,-48.157,-83.618,45.349
-0.533,-0.66,0.355,-42.908,-84.473,32.41
-0.55,-0.641,0.256,-34.607,-81.665,10.864
-0.529,-0.629,0.127,-23.621,-69.031,-13.0
-0.49,-0.597,0.046,-12.146,-41.687,-32.471
-0.412,-0.571,0.109,-3.113,-2.319,-40.588
-0.225,-0.654,0.341,2.502,33.569,-36.072
-0.064,-0.738,0.558,4.211,43.945,-27.161
0.047,-0.766,0.662,0.793,24.963,-12.756
0.002,-0.7,0.587,-3.662,-8.911,3.723
-0.01,-0.659,0.412,-5.981,-39.795,23.865
-0.09,-0.839,0.365,-6.653,-49.316,46.875
-0.292,-1.157,0.196,-1.465,-49.194,47.546
-0.411,-1.104,0.205,8.057,-34.424,19.836
-0.361,-0.781,0.379,12.756,-13.184,0.916
-0.409,-0.765,0.156,7.141,-12.878,13.916
-0.375,-1.095,0.319,4.7,-1.465,29.724
-0.356,-1.222,0.259,9.705,-4.272,16.418
-0.383,-1.25,0.226,11.292,-8.301,-7.141
-0.345,-1.105,0.36,9.888,-3.174,-32.593
-0.223,-0.978,0.445,7.629,-9.46,-43.274
-0.098,-0.887,0.583,2.93,-27.832,-40.1
-0.114,-0.9,0.422,-3.357,-59.082,-22.949
-0.235,-0.895,0.262,-7.69,-77.209,-6.47
-0.361,-0.957,0.082,-9.033,-67.383,5.188
-0.459,-1.014,0.091,-7.446,-32.776,6.714
-0.414,-0.975,0.237,-3.174,8.362,-1.77
-0.371,-0.908,0.341,-1.465,33.875,-9.216
-0.271,-0.763,0.54,-2.136,42.664,-13.0
-0.226,-0.743,0.491,-4.15,30.518,-7.141
-0.236,-0.735,0.451,-5.066,15.808,-1.343
-0.25,-0.796,0.389,-3.296,4.333,5.554
-0.265,-0.891,0.459,-0.183,-2.136,5.493
-0.246,-0.946,0.484,2.014,-10.62,-0.427
-0.257,-0.926,0.46,0.793,-26.123,-4.883
-0.282,-0.926,0.399,-2.258,-39.734,-4.211
-0.31,-0.938,0.322,-4.7,-47.058,-1.099
-0.334,-0.948,0.247,-6.409,-44.25,2.441
-0.354,-0.964,0.192,-7.202,-31.189,5.676
-0.356,-0.99,0.208,-7.141,-9.705,5.859
-0.347,-0.984,0.258,-5.615,12.695,1.587
-0.317,-0.957,0.319,-4.578,28.259,-3.357
-0.278,-0.912,0.361,-4.089,35.95,-7.751
-0.259,-0.873,0.416,-2.563,36.133,-9.949
-0.246,-0.858,0.462,-1.16,29.663,-9.949
-0.236,-0.859,0.482,-1.526,15.991,-8.118
-0.235,-0.866,0.463,-2.686,-1.404,-6.042
-0.249,-0.878,0.421,-3.357,-17.151,-5.31
-0.275,-0.884,0.363,-3.723,-27.161,-6.348
-0.303,-0.879,0.347,-3.906,-29.48,-6.775
-0.324,-0.873,0.325,-4.944,-26.245,-5.127
-0.335,-0.868,0.3,-6.226,-18.616,-2.197
-0.322,-0.865,0.303,-6.042,-6.958,0.427
-0.305,-0.869,0.338,-5.371,5.066,1.953
-0.284,-0.863,0.389,-4.7,14.282,3.357
-0.279,-0.854,0.391,-3.784,17.151,5.249
-0.266,-0.86,0.417,-1.953,17.09,6.226
-0.255,-0.898,0.444,-0.183,13.855,6.042
-0.256,-0.933,0.484,0.122,6.165,4.089
-0.262,-0.93,0.479,-0.488,-6.104,0.183
-0.284,-0.911,0.412,-0.854,-18.494,-3.052
-0.305,-0.911,0.354,-1.526,-23.621,-3.906
-0.32,-0.926,0.332,-1.587,-20.325,-3.235
-0.326,-0.941,0.333,-2.075,-12.268,-3.235
