aX,aY,aZ,gX,gY,gZ
0.982,0.229,0.018,-8.301,5.92,-1.221
0.978,0.262,0.018,-6.653,5.615,-2.258
1.008,0.25,0.085,-5.859,6.409,1.221
0.996,0.23,0.093,-4.517,1.77,3.906
0.974,0.213,0.053,-2.319,-5.005,4.272
0.943,0.205,0.0,0.366,-7.751,2.991
0.928,0.191,-0.024,1.648,-5.371,1.892
0.929,0.18,-0.012,1.892,0.061,0.793
0.925,0.176,-0.007,1.831,4.883,-0.183
0.916,0.17,-0.012,1.465,8.789,-0.916
0.905,0.16,-0.028,1.282,12.817,-0.732
0.899,0.15,-0.037,0.549,17.7,-0.122
0.919,0.145,-0.012,-0.183,22.888,0.671
0.978,0.151,0.064,-0.488,24.719,0.366
1.026,0.17,0.125,-1.404,18.188,-0.61
0.308,-0.299,2.353,66.772,158.142,-7.507
0.484,-0.227,2.469,51.025,167.358,0.854
0.572,-0.186,2.515,43.701,170.776,20.264
0.582,-0.273,2.499,41.138,168.213,46.143
0.658,-0.336,2.526,29.114,169.983,71.838
0.755,-0.219,2.623,7.568,181.091,89.6
0.799,-0.047,2.706,-10.986,193.359,103.394
0.805,-0.04,2.834,-20.691,199.463,112.549
0.848,-0.128,2.978,-23.56,191.956,108.032
0.824,-0.174,2.926,-21.545,165.466,93.994
0.655,-0.141,2.568,-19.348,136.292,78.796
0.364,-0.067,2.152,-20.569,130.981,63.965
0.18,-0.024,1.866,-24.963,158.691,51.086
0.134,-0.029,1.676,-29.846,205.444,39.978
0.109,-0.078,1.534,-34.851,252.319,27.71
0.091,-0.121,1.439,-39.001,290.344,13.977
0.14,-0.095,1.304,-41.443,317.932,-0.854
0.181,-0.06,1.152,-43.64,335.205,-8.911
0.216,-0.091,1.05,-46.814,345.886,-9.338
0.27,-0.12,0.906,-50.415,347.961,-7.507
0.287,-0.106,0.74,-52.917,344.727,-4.517
0.326,-0.085,0.667,-52.246,341.064,-3.235
0.376,-0.104,0.551,-49.194,328.674,-5.127
0.358,-0.139,0.394,-42.114,308.716,-12.146
0.31,-0.118,0.201,-27.893,288.208,-24.414
0.266,-0.161,0.037,-7.385,272.217,-36.926
0.294,-0.158,-0.062,17.334,259.46,-52.185
0.401,-0.131,-0.089,40.833,245.361,-60.425
0.441,-0.164,-0.07,54.138,226.013,-56.091
0.361,-0.215,-0.163,56.946,200.317,-45.593
0.352,-0.291,-0.167,51.697,177.429,-30.396
0.362,-0.349,-0.096,44.8,153.259,-19.226
0.301,-0.328,-0.144,36.987,121.948,-12.634
0.207,-0.272,-0.235,27.71,94.849,-5.005
0.14,-0.179,-0.31,21.423,80.017,4.333
0.145,-0.133,-0.31,21.667,73.853,16.479
0.195,-0.095,-0.268,28.748,68.115,24.353
0.235,-0.044,-0.294,42.114,58.35,28.015
0.174,-0.026,-0.458,55.359,50.232,32.104
0.124,-0.031,-0.522,67.139,56.152,35.522
0.197,-0.072,-0.398,79.041,70.618,36.316
0.311,-0.132,-0.225,89.294,73.914,30.701
0.375,-0.187,-0.183,95.154,58.655,22.339
0.392,-0.226,-0.189,95.642,37.17,14.282
0.389,-0.26,-0.198,90.637,18.494,7.324
0.373,-0.284,-0.219,80.688,4.761,2.686
0.353,-0.295,-0.215,66.589,-2.93,0.977
0.357,-0.297,-0.16,50.232,-5.92,1.648
0.355,-0.283,-0.137,34.302,-9.216,2.686
0.342,-0.239,-0.144,18.188,-11.108,3.601
0.322,-0.176,-0.175,3.601,-9.521,5.432
0.358,-0.126,-0.178,-6.775,-3.601,7.202
0.428,-0.088,-0.134,-14.282,4.639,8.728
0.496,-0.051,-0.095,-20.813,9.521,11.047
0.542,-0.009,-0.099,-26.428,9.705,12.512
0.582,0.033,-0.123,-29.968,9.46,13.306
0.627,0.064,-0.121,-32.593,10.498,14.465
0.669,0.096,-0.089,-35.095,11.353,16.357
0.706,0.12,-0.049,-36.743,8.362,17.395
0.737,0.136,-0.049,-36.682,0.732,18.005
0.766,0.148,-0.064,-35.217,-7.629,18.494
0.793,0.162,-0.066,-32.349,-14.709,19.043
0.806,0.173,-0.077,-28.198,-20.813,19.531
0.801,0.178,-0.099,-23.499,-25.757,20.325
0.79,0.18,-0.128,-18.25,-27.832,21.24
0.779,0.175,-0.164,-12.939,-25.757,21.301
0.787,0.165,-0.167,-9.521,-18.616,20.996
0.819,0.144,-0.131,-7.874,-8.789,19.897
0.855,0.126,-0.083,-7.874,-1.709,16.663
0.902,0.119,-0.036,-9.338,1.648,12.085
0.927,0.128,-0.047,-12.024,0.793,7.629
0.94,0.133,-0.074,-16.296,0.549,5.554
0.955,0.133,-0.075,-20.813,2.625,5.676
0.988,0.137,-0.041,-24.536,5.432,5.981
1.021,0.138,0.015,-27.222,4.822,5.859
1.016,0.142,0.002,-28.32,-0.977,5.249
0.961,0.148,-0.088,-27.649,-6.042,4.028
0.875,0.141,-0.215,-26.001,-1.648,3.479
0.88,0.126,-0.182,-23.01,16.663,3.052
1.02,0.12,0.044,-18.677,34.119,1.709
1.068,0.112,0.096,-15.381,30.884,1.892
1.003,0.113,-0.033,-14.282,18.86,4.883
1.047,0.048,0.042,-13.672,16.968,9.583
1.134,-0.003,0.203,-11.353,11.108,8.423
1.08,0.012,0.081,-10.193,-10.62,3.906
1.062,0.042,0.006,-12.024,-23.987,3.113
1.078,0.021,0.075,-14.343,-25.33,5.615
1.075,0.002,0.1,-16.052,-29.907,6.897
1.02,0.031,0.013,-16.418,-36.743,5.92
0.978,0.06,-0.031,-16.785,-34.973,5.92
0.999,0.052,0.065,-16.113,-25.33,7.324
