aX,aY,aZ,gX,gY,gZ
-0.061,-0.882,0.415,-19.226,9.644,-14.587
-0.059,-0.878,0.42,-15.32,6.47,-12.634
-0.058,-0.882,0.43,-11.108,2.747,-9.827
-0.06,-0.878,0.435,-6.775,-1.099,-7.202
-0.069,-0.882,0.441,-3.479,-4.7,-5.432
-0.084,-0.899,0.445,-1.282,-7.751,-3.418
-0.099,-0.923,0.449,-0.305,-9.949,-1.953
-0.121,-0.948,0.442,-0.549,-11.047,-1.648
-0.142,-0.959,0.431,-1.404,-10.559,-2.563
-0.154,-0.959,0.417,-2.258,-8.423,-3.906
-0.157,-0.951,0.423,-2.991,-4.944,-5.615
1.076,1.712,-0.064,19.165,13.123,-21.423
1.163,1.922,-0.184,37.964,12.756,-56.824
1.272,2.145,-0.299,62.256,11.78,-105.774
1.422,2.38,-0.415,92.163,9.399,-164.49
1.533,2.619,-0.494,114.258,6.287,-226.013
1.49,2.756,-0.475,121.704,0.427,-283.997
1.298,2.713,-0.41,121.338,-16.724,-334.656
1.088,2.555,-0.295,125.671,-46.326,-378.662
0.811,2.381,-0.265,141.174,-89.905,-425.232
0.61,2.144,-0.264,155.762,-138.123,-477.539
0.386,1.914,-0.123,157.349,-184.509,-524.353
-0.173,1.767,0.262,170.654,-230.469,-571.716
-0.841,1.424,0.277,199.951,-291.199,-617.676
-1.363,0.742,0.008,188.11,-352.6,-634.094
-2.24,-0.168,-0.322,152.893,-374.817,-622.925
-3.215,-1.213,-0.606,136.353,-344.91,-605.713
-3.94,-2.369,-0.693,118.103,-288.025,-563.11
-4.0,-3.408,-0.705,94.543,-222.351,-505.615
-3.809,-3.968,-0.895,70.129,-157.471,-448.853
-3.006,-3.534,-1.048,49.866,-78.003,-383.728
-2.084,-2.836,-1.082,65.613,4.211,-288.635
-1.365,-2.328,-0.552,86.243,77.576,-160.645
-1.058,-2.026,0.373,77.026,113.22,-44.861
-0.861,-1.918,0.644,67.017,59.937,15.198
-0.823,-1.762,0.485,72.571,-25.574,32.776
-0.886,-1.594,0.296,86.121,-84.045,37.415
-0.945,-1.601,0.053,94.971,-105.713,39.429
-0.841,-1.712,0.034,92.224,-90.454,37.354
-0.666,-1.726,0.043,79.285,-60.669,26.001
-0.505,-1.563,0.032,59.509,-29.114,9.766
-0.291,-1.402,0.198,33.997,4.272,-0.793
-0.101,-1.284,0.307,9.949,25.696,-9.888
0.091,-1.059,0.539,-7.446,31.067,-23.254
0.172,-0.68,0.43,-19.775,13.245,-28.625
0.177,-0.621,0.454,-32.471,1.343,-13.611
0.155,-0.75,0.505,-33.203,-7.812,-1.221
0.078,-0.739,0.396,-21.667,-24.109,-0.977
-0.012,-0.765,0.324,-11.841,-29.419,-1.77
-0.039,-0.886,0.396,-7.263,-23.56,-0.854
-0.085,-0.978,0.402,-1.343,-20.325,-1.831
-0.146,-1.018,0.417,1.16,-15.991,-3.174
-0.161,-1.074,0.424,-5.066,-10.132,-4.395
-0.187,-1.119,0.413,-15.747,-4.456,-6.775
-0.226,-1.13,0.396,-25.452,1.648,-11.78
-0.231,-1.107,0.379,-34.973,9.766,-19.348
-0.215,-1.055,0.382,-42.603,18.86,-27.71
-0.186,-0.982,0.415,-46.204,26.367,-34.363
-0.145,-0.912,0.448,-45.532,28.992,-36.377
-0.116,-0.861,0.463,-41.443,26.245,-33.875
-0.109,-0.827,0.467,-34.485,19.836,-28.259
-0.131,-0.819,0.454,-24.475,11.78,-21.484
-0.138,-0.838,0.426,-13.062,4.028,-14.343
-0.127,-0.867,0.411,-2.991,-1.099,-7.141
-0.119,-0.902,0.415,4.333,-3.784,-0.671
-0.115,-0.948,0.422,7.141,-5.188,5.798
-0.129,-0.985,0.411,5.554,-5.92,10.01
-0.134,-1.005,0.387,2.93,-4.395,9.949
-0.117,-0.999,0.369,-0.305,-0.244,5.798
-0.085,-0.969,0.375,-5.371,5.249,-0.244
-0.037,-0.933,0.392,-9.949,9.644,-4.761
0.004,-0.901,0.411,-13.611,11.169,-6.409
0.014,-0.883,0.427,-15.991,9.277,-5.859
-0.003,-0.872,0.416,-16.785,4.578,-4.7
-0.04,-0.882,0.382,-14.099,0.305,-4.7
-0.065,-0.909,0.371,-9.583,-0.122,-6.897
-0.07,-0.922,0.388,-7.263,1.587,-10.376
-0.07,-0.92,0.4,-6.348,1.892,-12.939
-0.074,-0.925,0.403,-5.615,0.61,-12.878
-0.084,-0.939,0.409,-5.554,-1.038,-10.376
-0.102,-0.956,0.419,-6.042,-2.502,-6.592
-0.123,-0.95,0.412,-5.371,-3.479,-3.357
-0.135,-0.961,0.399,-2.808,-3.662,-1.404
-0.121,-0.98,0.4,-1.343,-2.502,-0.488
-0.105,-0.994,0.415,-1.587,-1.404,-1.038
-0.095,-0.995,0.421,-2.319,-1.404,-2.014
-0.086,-0.993,0.42,-4.822,-2.686,-2.563
-0.086,-0.985,0.422,-7.568,-3.967,-2.625
-0.097,-0.98,0.414,-9.277,-4.761,-1.648
-0.108,-0.979,0.405,-11.414,-5.127,-1.282
-0.109,-0.972,0.407,-13.733,-4.089,-1.77
-0.099,-0.957,0.417,-15.564,-2.441,-2.502
-0.09,-0.945,0.433,-16.785,-1.099,-2.38
-0.087,-0.928,0.443,-18.677,-1.221,-1.892
-0.088,-0.907,0.444,-20.02,-2.441,-1.892
-0.097,-0.875,0.438,-19.531,-2.991,-1.953
-0.103,-0.855,0.438,-17.456,-2.075,-1.77
-0.095,-0.845,0.456,-14.526,0.244,-0.977
